date_key,date_value,day,month,month_name,quarter,year,day_of_week,is_weekend
20230814,2023-08-14 00:00:00,14,8,August,3,2023,0,0
20230815,2023-08-15 00:00:00,15,8,August,3,2023,1,0
20230816,2023-08-16 00:00:00,16,8,August,3,2023,2,0
20230817,2023-08-17 00:00:00,17,8,August,3,2023,3,0
20230818,2023-08-18 00:00:00,18,8,August,3,2023,4,0
20230819,2023-08-19 00:00:00,19,8,August,3,2023,5,1
20230820,2023-08-20 00:00:00,20,8,August,3,2023,6,1
20230821,2023-08-21 00:00:00,21,8,August,3,2023,0,0
20230822,2023-08-22 00:00:00,22,8,August,3,2023,1,0
20230823,2023-08-23 00:00:00,23,8,August,3,2023,2,0
20230824,2023-08-24 00:00:00,24,8,August,3,2023,3,0
20230825,2023-08-25 00:00:00,25,8,August,3,2023,4,0
20230826,2023-08-26 00:00:00,26,8,August,3,2023,5,1
20230827,2023-08-27 00:00:00,27,8,August,3,2023,6,1
20230828,2023-08-28 00:00:00,28,8,August,3,2023,0,0
20230829,2023-08-29 00:00:00,29,8,August,3,2023,1,0
20230830,2023-08-30 00:00:00,30,8,August,3,2023,2,0
20230831,2023-08-31 00:00:00,31,8,August,3,2023,3,0
20230901,2023-09-01 00:00:00,1,9,September,3,2023,4,0
20230902,2023-09-02 00:00:00,2,9,September,3,2023,5,1
20230903,2023-09-03 00:00:00,3,9,September,3,2023,6,1
20230904,2023-09-04 00:00:00,4,9,September,3,2023,0,0
20230905,2023-09-05 00:00:00,5,9,September,3,2023,1,0
20230906,2023-09-06 00:00:00,6,9,September,3,2023,2,0
20230907,2023-09-07 00:00:00,7,9,September,3,2023,3,0
20230908,2023-09-08 00:00:00,8,9,September,3,2023,4,0
20230909,2023-09-09 00:00:00,9,9,September,3,2023,5,1
20230910,2023-09-10 00:00:00,10,9,September,3,2023,6,1
20230911,2023-09-11 00:00:00,11,9,September,3,2023,0,0
20230912,2023-09-12 00:00:00,12,9,September,3,2023,1,0
20230913,2023-09-13 00:00:00,13,9,September,3,2023,2,0
20230914,2023-09-14 00:00:00,14,9,September,3,2023,3,0
20230915,2023-09-15 00:00:00,15,9,September,3,2023,4,0
20230916,2023-09-16 00:00:00,16,9,September,3,2023,5,1
20230917,2023-09-17 00:00:00,17,9,September,3,2023,6,1
20230918,2023-09-18 00:00:00,18,9,September,3,2023,0,0
20230919,2023-09-19 00:00:00,19,9,September,3,2023,1,0
20230920,2023-09-20 00:00:00,20,9,September,3,2023,2,0
20230921,2023-09-21 00:00:00,21,9,September,3,2023,3,0
20230922,2023-09-22 00:00:00,22,9,September,3,2023,4,0
20230923,2023-09-23 00:00:00,23,9,September,3,2023,5,1
20230924,2023-09-24 00:00:00,24,9,September,3,2023,6,1
20230925,2023-09-25 00:00:00,25,9,September,3,2023,0,0
20230926,2023-09-26 00:00:00,26,9,September,3,2023,1,0
20230927,2023-09-27 00:00:00,27,9,September,3,2023,2,0
20230928,2023-09-28 00:00:00,28,9,September,3,2023,3,0
20230929,2023-09-29 00:00:00,29,9,September,3,2023,4,0
20230930,2023-09-30 00:00:00,30,9,September,3,2023,5,1
20231001,2023-10-01 00:00:00,1,10,October,4,2023,6,1
20231002,2023-10-02 00:00:00,2,10,October,4,2023,0,0
20231003,2023-10-03 00:00:00,3,10,October,4,2023,1,0
20231004,2023-10-04 00:00:00,4,10,October,4,2023,2,0
20231005,2023-10-05 00:00:00,5,10,October,4,2023,3,0
20231006,2023-10-06 00:00:00,6,10,October,4,2023,4,0
20231007,2023-10-07 00:00:00,7,10,October,4,2023,5,1
20231008,2023-10-08 00:00:00,8,10,October,4,2023,6,1
20231009,2023-10-09 00:00:00,9,10,October,4,2023,0,0
20231010,2023-10-10 00:00:00,10,10,October,4,2023,1,0
20231011,2023-10-11 00:00:00,11,10,October,4,2023,2,0
20231012,2023-10-12 00:00:00,12,10,October,4,2023,3,0
20231013,2023-10-13 00:00:00,13,10,October,4,2023,4,0
20231014,2023-10-14 00:00:00,14,10,October,4,2023,5,1
20231015,2023-10-15 00:00:00,15,10,October,4,2023,6,1
20231016,2023-10-16 00:00:00,16,10,October,4,2023,0,0
20231017,2023-10-17 00:00:00,17,10,October,4,2023,1,0
20231018,2023-10-18 00:00:00,18,10,October,4,2023,2,0
20231019,2023-10-19 00:00:00,19,10,October,4,2023,3,0
20231020,2023-10-20 00:00:00,20,10,October,4,2023,4,0
20231021,2023-10-21 00:00:00,21,10,October,4,2023,5,1
20231022,2023-10-22 00:00:00,22,10,October,4,2023,6,1
20231023,2023-10-23 00:00:00,23,10,October,4,2023,0,0
20231024,2023-10-24 00:00:00,24,10,October,4,2023,1,0
20231025,2023-10-25 00:00:00,25,10,October,4,2023,2,0
20231026,2023-10-26 00:00:00,26,10,October,4,2023,3,0
20231027,2023-10-27 00:00:00,27,10,October,4,2023,4,0
20231028,2023-10-28 00:00:00,28,10,October,4,2023,5,1
20231029,2023-10-29 00:00:00,29,10,October,4,2023,6,1
20231030,2023-10-30 00:00:00,30,10,October,4,2023,0,0
20231031,2023-10-31 00:00:00,31,10,October,4,2023,1,0
20231101,2023-11-01 00:00:00,1,11,November,4,2023,2,0
20231102,2023-11-02 00:00:00,2,11,November,4,2023,3,0
20231103,2023-11-03 00:00:00,3,11,November,4,2023,4,0
20231104,2023-11-04 00:00:00,4,11,November,4,2023,5,1
20231105,2023-11-05 00:00:00,5,11,November,4,2023,6,1
20231106,2023-11-06 00:00:00,6,11,November,4,2023,0,0
20231107,2023-11-07 00:00:00,7,11,November,4,2023,1,0
20231108,2023-11-08 00:00:00,8,11,November,4,2023,2,0
20231109,2023-11-09 00:00:00,9,11,November,4,2023,3,0
20231110,2023-11-10 00:00:00,10,11,November,4,2023,4,0
20231111,2023-11-11 00:00:00,11,11,November,4,2023,5,1
20231112,2023-11-12 00:00:00,12,11,November,4,2023,6,1
20231113,2023-11-13 00:00:00,13,11,November,4,2023,0,0
20231114,2023-11-14 00:00:00,14,11,November,4,2023,1,0
20231115,2023-11-15 00:00:00,15,11,November,4,2023,2,0
20231116,2023-11-16 00:00:00,16,11,November,4,2023,3,0
20231117,2023-11-17 00:00:00,17,11,November,4,2023,4,0
20231118,2023-11-18 00:00:00,18,11,November,4,2023,5,1
20231119,2023-11-19 00:00:00,19,11,November,4,2023,6,1
20231120,2023-11-20 00:00:00,20,11,November,4,2023,0,0
20231121,2023-11-21 00:00:00,21,11,November,4,2023,1,0
20231122,2023-11-22 00:00:00,22,11,November,4,2023,2,0
20231123,2023-11-23 00:00:00,23,11,November,4,2023,3,0
20231124,2023-11-24 00:00:00,24,11,November,4,2023,4,0
